# name,mass,radius,orbital_period,temp_calculated,temp_measured,molecules,star_distance
Kepler-191 b,,0.12,9.939632,,,,
Kepler-191 c,,0.166,17.738506,,,,
Kepler-192 b,,0.244,9.926746,,,,
Kepler-192 c,,0.249,21.2234,,,,
Kepler-193 b,,0.213,11.38848,,,,
Kepler-193 c,,0.245,50.697494,,,,
Kepler-194 b,,0.135,2.092281,,,,
Kepler-194 c,,0.231,17.308032,,,,
Kepler-194 d,,0.214,52.814973,,,,
Kepler-195 b,,0.181,8.307872,,,,
Kepler-195 c,,0.138,34.096863,,,,
Kepler-196 b,,0.17,20.739886,,,,
Kepler-196 c,,0.2,47.427737,,,,
Kepler-197 b,,0.09492,5.599293,,,,
Kepler-197 c,0.017,0.1078,10.349711,,,,
Kepler-197 d,,0.111,15.67787,,,,
Kepler-197 e,,0.0877,25.2097,,,,
Kepler-198 b,,0.252,17.790037,,,,
Kepler-198 c,,0.22,49.567416,,,,
Kepler-199 b,,0.277,23.637604,,,,
Kepler-199 c,,0.29,67.093408,,,,
Kepler-20 b,0.02658654,0.1695069489,3.6961219,,,,290
Kepler-20 c,0.0493974766,0.2729954019,10.854092,,,,290
Kepler-20 d,0.06,0.25,77.61185,,,,290
Kepler-20 e,0.0097,0.078,6.098493,,,,290
Kepler-20 f,0.045,0.09,19.57706,,,,290
Kepler-200 b,,0.19,8.594805,,,,
Kepler-200 c,,0.142,10.222157,,,,
Kepler-201 b,,0.219,25.672083,,,,
Kepler-201 c,,0.254,151.884058,,,,
Kepler-202 b,,0.145,4.069427,,,,
Kepler-202 c,,0.165,16.282493,,,,
Kepler-203 b,,0.229,3.162697,,,,
Kepler-203 c,,0.22,5.370647,,,,
Kepler-203 d,,0.128,11.32972,,,,
Kepler-204 b,,0.226,14.400974,,,,
Kepler-204 c,,0.16,25.660593,,,,
Kepler-205 b,,0.135,2.75564,,,,
Kepler-205 c,,0.146,20.306546,,,,
Kepler-206 b,,0.107,7.781987,,,,
Kepler-206 c,,0.158,13.137471,,,,
Kepler-206 d,,0.106,23.44281,,,,
Kepler-207 b,,0.14,1.611865,,,,
Kepler-207 c,,0.134,3.071571,,,,
Kepler-207 d,,0.295,5.868075,,,,
Kepler-208 b,,0.145,4.22864,,,,
Kepler-208 c,,0.124,7.466623,,,,
Kepler-208 d,,0.107,11.131786,,,,
Kepler-208 e,,0.132,16.259458,,,,
Kepler-209 b,,0.202,16.087845,,,,
Kepler-209 c,,0.277,41.749882,,,,
Kepler-21 b,0.033,0.1459,2.785755,,,,108
Kepler-210 b,,0.3419,2.4532,,,,
Kepler-210 c,,0.436,7.9725,,,,
Kepler-211 b,,0.112,4.138575,,,,
Kepler-211 c,,0.115,6.04045,,,,
Kepler-212 b,,0.097,16.257582,,,,
Kepler-212 c,,0.244,31.805174,,,,
Kepler-213 b,,0.145,2.46236,,,,
Kepler-213 c,,0.209,4.822962,,,,
Kepler-214 b,,0.233,15.660544,,,,
Kepler-214 c,,0.19,28.7798,,,,
Kepler-215 b,,0.145,9.360672,,,,
Kepler-215 c,,0.158,14.667108,,,,
Kepler-215 d,,0.213,30.864423,,,,
Kepler-215 e,,0.156,68.16101,,,,
Kepler-216 b,,0.21,7.693641,,,,
Kepler-216 c,,0.271,17.406669,,,,
Kepler-217 b,,0.199,5.374943,,,,
Kepler-217 c,,0.165,8.586004,,,,
Kepler-218 b,,0.132,3.619337,,,,
Kepler-218 c,,0.28,44.699576,,,,
Kepler-219 b,,0.263,4.585512,,,,
Kepler-219 c,,0.319,22.714613,,,,
Kepler-219 d,,0.251,47.903645,,,,
Kepler-22 b,0.11,0.21,289.8623,,,,190
Kepler-220 b,,0.072,4.159807,,,,
Kepler-220 c,,0.14,9.034199,,,,
Kepler-220 d,,0.087,28.122397,,,,
Kepler-220 e,,0.119,45.902733,,,,
Kepler-221 b,,0.153,2.795906,,,,
Kepler-221 c,,0.261,5.690586,,,,
Kepler-221 d,,0.244,10.04156,,,,
Kepler-221 e,,0.235,18.369917,,,,
Kepler-222 b,,0.282,3.936981,,,,
Kepler-222 c,,0.414,10.08881,,,,
Kepler-222 d,,0.329,28.081912,,,,
Kepler-223 b,,0.151,7.384108,,,,
Kepler-223 c,,0.178,9.848183,,,,
Kepler-223 d,,0.266,14.788759,,,,
Kepler-223 e,,0.214,19.721734,,,,
Kepler-224 b,,0.124,3.132924,,,,
Kepler-224 c,,0.278,5.925003,,,,
Kepler-224 d,,0.205,11.349393,,,,
Kepler-224 e,,0.176,18.643577,,,,
Kepler-225 b,,0.107,6.738975,,,,
Kepler-225 c,,0.164,18.794234,,,,
Kepler-226 b,,0.138,3.940997,,,,
Kepler-226 c,,0.203,5.349555,,,,
Kepler-226 d,,0.109,8.109044,,,,
Kepler-227 b,,0.277,9.488015,,,,
Kepler-227 c,,0.271,54.418694,,,,
Kepler-228 b,,0.136,2.566546,,,,
Kepler-228 c,,0.241,4.134444,,,,
Kepler-228 d,,0.36,11.094286,,,,
Kepler-229 b,,0.196,6.252972,,,,
Kepler-229 c,,0.439,16.068638,,,,
Kepler-229 d,,0.343,41.194912,,,,
Kepler-23 b,0.0478,0.1511,7.106995,,,,
Kepler-23 c,0.189,0.278,10.742434,,,,
Kepler-23 d,0.055,0.1994,15.27429,,,,
Kepler-230 b,,0.38,32.625555,,,,
Kepler-230 c,,0.182,91.773242,,,,
Kepler-231 b,,0.154,10.065275,,,,
Kepler-231 c,,0.172,19.271566,,,,
Kepler-232 b,,0.275,4.431222,,,,
Kepler-232 c,,0.342,11.379349,,,,
Kepler-233 b,,0.217,8.472382,,,,
Kepler-233 c,,0.242,60.418955,,,,
Kepler-234 b,,0.33,2.711506,,,,
Kepler-234 c,,0.313,7.21205,,,,
Kepler-235 b,,0.199,3.340222,,,,
Kepler-235 c,,0.114,7.824904,,,,
Kepler-235 d,,0.183,20.060548,,,,
Kepler-235 e,,0.198,46.183669,,,,
Kepler-236 b,,0.14,8.295611,,,,
Kepler-236 c,,0.178,23.968127,,,,
Kepler-237 b,,0.126,4.715106,,,,
Kepler-237 c,,0.186,8.103636,,,,
Kepler-238 b,,0.154,2.090876,,,,
Kepler-238 c,,0.213,6.155557,,,,
Kepler-238 d,,0.274,13.233549,,,,
Kepler-238 e,0.626,0.501,23.654,,,,
Kepler-238 f,0.056,0.179,50.447,,,,
Kepler-239 b,,0.208,11.763051,,,,
Kepler-239 c,,0.224,56.228098,,,,
Kepler-24 b,1.6,0.21,8.1453,,,,
Kepler-24 c,1.6,0.25,12.3335,,,,
Kepler-240 b,,0.122,4.144495,,,,
Kepler-240 c,,0.196,7.953528,,,,
Kepler-241 b,,0.208,12.718092,,,,
Kepler-241 c,,0.229,36.065978,,,,
Kepler-242 b,,0.233,8.20395,,,,
Kepler-242 c,,0.178,14.496481,,,,
Kepler-243 b,,0.219,5.715442,,,,
Kepler-243 c,,0.178,20.026218,,,,
Kepler-244 b,,0.246,4.311792,,,,
Kepler-244 c,,0.183,9.767292,,,,
Kepler-244 d,,0.206,20.050401,,,,
Kepler-245 b,,0.229,7.49019,,,,
Kepler-245 c,,0.194,17.460812,,,,
Kepler-245 d,,0.27,36.277108,,,,
Kepler-246 b,,0.209,4.60182,,,,
Kepler-246 c,,0.134,11.187161,,,,
Kepler-247 b,,0.146,3.33616,,,,
Kepler-247 c,,0.365,9.439452,,,,
Kepler-247 d,,0.352,20.477912,,,,
Kepler-248 b,,0.269,6.308205,,,,
Kepler-248 c,,0.363,16.239494,,,,
Kepler-249 b,,0.097,3.306539,,,,
Kepler-249 c,,0.135,7.113702,,,,
Kepler-249 d,,0.14,15.368459,,,,
Kepler-25 b,0.028,0.2411,6.2385369,,,,
Kepler-25 c,0.045,0.4598,12.7203678,,,,
Kepler-25 d,0.2828556146,,123,,,,
Kepler-250 b,,0.101,4.148141,,,,
Kepler-250 c,,0.203,7.156804,,,,
Kepler-250 d,,0.194,17.648312,,,,
Kepler-251 b,,0.119,4.790936,,,,
Kepler-251 c,,0.247,16.514043,,,,
Kepler-251 d,,0.247,30.133001,,,,
Kepler-251 e,,0.247,99.640161,,,,
Kepler-252 b,,0.11,6.668391,,,,
Kepler-252 c,,0.192,10.848463,,,,
Kepler-253 b,,0.145,3.783986,,,,
Kepler-253 c,,0.236,10.281951,,,,
Kepler-253 d,,0.283,18.119869,,,,
Kepler-254 b,,0.345,5.826662,,,,
Kepler-254 c,,0.192,12.412183,,,,
Kepler-254 d,,0.223,18.746477,,,,
Kepler-255 b,,0.138,5.714606,,,,
Kepler-255 c,,0.267,9.946047,,,,
Kepler-256 b,,0.142,1.620493,,,,
Kepler-256 c,,0.192,3.38802,,,,
Kepler-256 d,,0.221,5.839172,,,,
Kepler-256 e,,0.21,10.681572,,,,
Kepler-257 b,,0.233,2.382667,,,,
Kepler-257 c,,0.483,6.581484,,,,
Kepler-257 d,,0.442,24.664551,,,,
Kepler-258 b,,0.362,13.19722,,,,
Kepler-258 c,,0.322,33.653079,,,,
Kepler-259 b,,0.25,8.115317,,,,
Kepler-259 c,,0.241,36.924931,,,,
Kepler-26 b,0.38,0.32,12.2829,,,,
Kepler-26 c,0.375,0.32,17.2513,,,,
Kepler-26 e,,0.215,46.827915,,,,
Kepler-260 b,,0.179,8.187399,,,,
Kepler-260 c,,0.155,76.050178,,,,
Kepler-261 b,,0.194,10.381227,,,,
Kepler-261 c,,0.178,24.570858,,,,
Kepler-262 b,,0.121,13.060855,,,,
Kepler-262 c,,0.146,21.853722,,,,
Kepler-263 b,,0.238,16.568087,,,,
Kepler-263 c,,0.22,47.332773,,,,
Kepler-264 b,,0.297,40.806231,,,,
Kepler-264 c,,0.252,140.101261,,,,
Kepler-265 b,,0.166,6.846262,,,,
Kepler-265 c,,0.235,17.028937,,,,
Kepler-265 d,,0.222,43.130617,,,,
Kepler-265 e,,0.231,67.831024,,,,
Kepler-266 b,,0.221,6.61833,,,,
Kepler-266 c,,0.347,107.723601,,,,
Kepler-267 b,,0.177,3.353728,,,,
Kepler-267 c,,0.19,6.87745,,,,
Kepler-267 d,,0.203,28.464515,,,,
Kepler-268 b,,0.227,25.934138,,,,
Kepler-268 c,,0.302,83.446393,,,,
Kepler-269 b,,0.22,5.326718,,,,
Kepler-269 c,,0.151,8.127899,,,,
Kepler-27 b,9.11,0.36,15.3348,,,,
Kepler-27 c,13.8,0.44,31.3309,,,,
Kepler-270 b,,0.179,11.476094,,,,
Kepler-270 c,,0.158,25.262887,,,,
Kepler-271 b,,0.079,5.217738,,,,
Kepler-271 c,,0.089,7.410935,,,,
Kepler-272 b,,0.128,2.971353,,,,
Kepler-272 c,,0.16,6.057342,,,,
Kepler-272 d,,0.201,10.937304,,,,
Kepler-273 b,,0.134,2.936532,,,,
Kepler-273 c,,0.177,8.014927,,,,
Kepler-274 b,,0.137,11.634788,,,,
Kepler-274 c,,0.164,33.197861,,,,
Kepler-275 b,,0.209,10.300682,,,,
Kepler-275 c,,0.302,16.088134,,,,
Kepler-275 d,,0.297,35.676062,,,,
Kepler-276 b,,0.256,14.12841,,,,
Kepler-276 c,0.045,0.259,31.884,,,,
Kepler-276 d,0.044,0.25,48.648,,,,
Kepler-277 b,0.28,0.261,17.324,,,,
Kepler-277 c,0.21,0.3,33.006,,,,
Kepler-278 b,,0.409,30.15856,,,,
Kepler-278 c,,0.295,51.0851,,,,
Kepler-279 b,,0.323,12.309681,,,,
Kepler-279 c,0.171,0.385,35.736,,,,
Kepler-279 d,0.13,0.277,54.414,,,,
Kepler-28 b,1.51,0.32,5.9123,,,,
Kepler-28 c,1.36,0.3,8.9858,,,,
Kepler-280 b,,0.129,2.139542,,,,
Kepler-280 c,,0.179,4.807091,,,,
Kepler-281 b,,0.252,14.646008,,,,
Kepler-281 c,,0.474,36.337373,,,,
Kepler-282 b,,0.09,9.220524,,,,
Kepler-282 c,,0.107,13.638723,,,,
Kepler-282 d,0.204,0.22,24.806,,,,
Kepler-282 e,0.192,0.277,44.347,,,,
Kepler-283 b,,0.19,11.008151,,,,
Kepler-283 c,,0.162,92.743711,,,,
Kepler-284 b,,0.2,12.699149,,,,
Kepler-284 c,,0.233,37.514456,,,,
Kepler-285 b,,0.12,2.633867,,,,
Kepler-285 c,,0.1,6.186676,,,,
Kepler-286 b,,0.111,1.796302,,,,
Kepler-286 c,,0.122,3.468095,,,,
Kepler-286 d,,0.119,5.914323,,,,
Kepler-286 e,,0.158,29.221289,,,,
Kepler-287 b,,0.208,20.342199,,,,
Kepler-287 c,,0.291,44.851896,,,,
Kepler-288 b,,0.149,6.097326,,,,
Kepler-288 c,,0.254,19.305772,,,,
Kepler-288 d,,0.238,56.633742,,,,
Kepler-289 b,,0.217,34.543901,,,,
Kepler-289 c,,1.163,125.866438,,,,
Kepler-29 b,0.4,0.32,10.3376,,,,
Kepler-29 c,0.3,0.26,13.2907,,,,
Kepler-290 b,,0.201,14.589347,,,,
Kepler-290 c,,0.241,36.77031,,,,
Kepler-291 b,,0.193,3.546511,,,,
Kepler-291 c,,0.168,5.700786,,,,
Kepler-292 b,,0.118,2.580827,,,,
Kepler-292 c,,0.131,3.715335,,,,
Kepler-292 d,,0.199,7.055679,,,,
Kepler-292 e,,0.238,11.97901,,,,
Kepler-292 f,,0.21,20.834237,,,,
Kepler-293 b,,0.274,19.254196,,,,
Kepler-293 c,,0.342,54.155743,,,,
Kepler-294 b,,0.158,3.701212,,,,
Kepler-294 c,,0.242,6.6264,,,,
Kepler-295 b,,0.109,12.645164,,,,
Kepler-295 c,,0.104,21.526258,,,,
Kepler-295 d,,0.121,33.884054,,,,
Kepler-296 b,,0.084,3.621457,,,,
Kepler-296 c,,0.192,5.841648,,,,
Kepler-296 d,,0.203,19.850242,,,,
Kepler-296 e,,0.156,34.142347,,,,
Kepler-296 f,,0.16,63.335879,,,,
Kepler-297 b,,0.256,38.871826,,,,
Kepler-297 c,,0.583,74.920137,,,,
Kepler-298 b,,0.175,10.475464,,,,
Kepler-298 c,,0.172,22.92881,,,,
Kepler-298 d,,0.223,77.473633,,,,
Kepler-299 b,,0.118,2.927128,,,,
Kepler-299 c,,0.236,6.885875,,,,
Kepler-299 d,,0.166,15.054786,,,,
Kepler-299 e,,0.167,38.285489,,,,
Kepler-30 b,0.036,0.35,29.334,,,,
Kepler-30 c,2.01,1.1,60.3231,,,,
Kepler-30 d,0.073,0.79,143.343,,,,
Kepler-300 b,,0.149,10.446347,,,,
Kepler-300 c,,0.201,40.714955,,,,
Kepler-301 b,,0.12,2.508553,,,,
Kepler-301 c,,0.12,5.419026,,,,
Kepler-301 d,,0.156,13.751243,,,,
Kepler-302 b,,0.362,30.184104,,,,
Kepler-302 c,,1.111,127.282184,,,,
Kepler-303 b,,0.079,1.937055,,,,
Kepler-303 c,,0.102,7.061149,,,,
Kepler-304 b,,0.255,3.295709,,,,
Kepler-304 c,,0.194,5.315946,,,,
Kepler-304 d,,0.245,9.653471,,,,
Kepler-305 b,0.0356,0.322,5.487,,,,
Kepler-305 c,0.0192,0.295,8.291,,,,
Kepler-305 d,,0.242,16.738661,,,,
Kepler-306 b,,0.136,4.646186,,,,
Kepler-306 c,,0.21,7.240193,,,,
Kepler-306 d,,0.22,17.326644,,,,
Kepler-306 e,,0.203,44.840975,,,,
Kepler-307 b,0.0079,0.286,10.416,,,,
Kepler-307 c,0.0038,0.25,13.084,,,,
Kepler-308 b,,0.189,9.694928,,,,
Kepler-308 c,,0.193,15.38231,,,,
Kepler-309 b,,0.139,5.923653,,,,
Kepler-309 c,,0.224,105.356383,,,,
Kepler-31 b,,0.38,20.8613,,,,
Kepler-31 c,4.7,0.38,42.6318,,,,
Kepler-31 d,,0.407,87.648901,,,,
Kepler-310 b,,0.106,13.930698,,,,
Kepler-310 c,,0.302,56.47542,,,,
Kepler-310 d,,0.22,92.876125,,,,
Kepler-311 b,,0.152,9.176092,,,,
Kepler-311 c,,0.128,19.738286,,,,
Kepler-312 b,,0.115,1.772419,,,,
Kepler-312 c,,0.281,19.747412,,,,
Kepler-313 b,,0.226,14.970418,,,,
Kepler-313 c,,0.229,32.273273,,,,
Kepler-314 b,,0.074,2.461069,,,,
Kepler-314 c,,0.259,5.960392,,,,
Kepler-315 b,,0.336,96.101141,,,,
Kepler-315 c,,0.37,265.469335,,,,
Kepler-316 b,,0.095,2.240508,,,,
Kepler-316 c,,0.103,6.827766,,,,
Kepler-317 b,,0.186,5.524242,,,,
Kepler-317 c,,0.153,8.77501,,,,
Kepler-318 b,,0.42,4.662715,,,,
Kepler-318 c,,0.328,11.815007,,,,
Kepler-319 b,,0.145,4.362705,,,,
Kepler-319 c,,0.235,6.941357,,,,
Kepler-319 d,,0.204,31.781925,,,,
Kepler-32 b,4.1,0.37,5.90124,,,,
Kepler-32 c,0.5,0.33,8.7522,,,,
Kepler-320 b,,0.102,8.371554,,,,
Kepler-320 c,,0.122,17.934937,,,,
Kepler-321 b,,0.158,4.915379,,,,
Kepler-321 c,,0.207,13.093921,,,,
Kepler-322 b,,0.09,1.653888,,,,
Kepler-322 c,,0.149,4.337234,,,,
Kepler-323 b,,0.128,1.678327,,,,
Kepler-323 c,,0.145,3.553822,,,,
Kepler-324 b,,0.102,4.385315,,,,
Kepler-324 c,,0.281,51.805612,,,,
Kepler-325 b,,0.26,4.544439,,,,
Kepler-325 c,,0.227,12.762172,,,,
Kepler-325 d,,0.249,38.715185,,,,
Kepler-326 b,,0.136,2.248329,,,,
Kepler-326 c,,0.125,4.580358,,,,
Kepler-326 d,,0.108,6.766888,,,,
Kepler-327 b,,0.099,2.549575,,,,
Kepler-327 c,,0.092,5.212333,,,,
Kepler-327 d,,0.154,13.969457,,,,
Kepler-328 b,0.069,0.206,34.921,,,,
Kepler-328 c,0.1,0.483,71.312,,,,
Kepler-329 b,,0.125,7.416397,,,,
Kepler-329 c,,0.172,18.684737,,,,
Kepler-33 b,,0.16,5.66793,,,,
Kepler-33 c,,0.29,13.17562,,,,
Kepler-33 d,,0.48,21.77596,,,,
Kepler-33 e,,0.36,31.7844,,,,
Kepler-33 f,,0.4,41.02902,,,,
Kepler-330 b,,0.12,8.25978,,,,
Kepler-330 c,,0.174,15.955387,,,,
Kepler-331 b,,0.162,8.457496,,,,
Kepler-331 c,,0.164,17.28111,,,,
Kepler-331 d,,0.146,32.134328,,,,
Kepler-332 b,,0.104,7.626324,,,,
Kepler-332 c,,0.097,15.995622,,,,
Kepler-332 d,,0.105,34.21154,,,,
Kepler-333 b,,0.118,12.551158,,,,
Kepler-333 c,,0.099,24.08821,,,,
Kepler-334 b,,0.1,5.470319,,,,
Kepler-334 c,,0.128,12.758005,,,,
Kepler-334 d,,0.126,25.09849,,,,
Kepler-335 b,,0.302,6.562331,,,,
Kepler-335 c,,0.274,67.844469,,,,
Kepler-336 b,,0.091,2.024823,,,,
Kepler-336 c,,0.187,9.600001,,,,
Kepler-336 d,,0.211,20.678772,,,,
Kepler-337 b,,0.137,3.292781,,,,
Kepler-337 c,,0.183,9.693201,,,,
Kepler-338 b,0.0963,0.23,13.72699,,,,
Kepler-338 c,,0.221,24.31168,,,,
Kepler-338 d,,0.237,44.4287,,,,
Kepler-338 e,0.027,0.1416,9.34149,,,,
Kepler-339 b,,0.127,4.977656,,,,
Kepler-339 c,,0.103,6.988055,,,,
Kepler-339 d,,0.104,10.558345,,,,
Kepler-34(AB)  b,0.2199288928,0.7636734119,288.822,,,,1499
Kepler-340 b,,0.226,14.844387,,,,
Kepler-340 c,,0.301,22.824669,,,,
Kepler-341 b,,0.105,5.195528,,,,
Kepler-341 c,,0.152,8.01041,,,,
Kepler-341 d,,0.165,27.666313,,,,
Kepler-341 e,,0.178,42.473269,,,,
Kepler-342 b,,0.201,15.170318,,,,
Kepler-342 c,,0.175,26.234138,,,,
Kepler-342 d,,0.222,39.459357,,,,
Kepler-343 b,,0.215,8.96855,,,,
Kepler-343 c,,0.18,23.22182,,,,
Kepler-344 b,,0.233,21.963945,,,,
Kepler-344 c,,0.263,125.596809,,,,
Kepler-345 b,,0.066,7.415563,,,,
Kepler-345 c,,0.107,9.387427,,,,
Kepler-346 b,,0.237,6.511127,,,,
Kepler-346 c,,0.274,23.851549,,,,
Kepler-347 b,,0.176,12.79836,,,,
Kepler-347 c,,0.156,27.320871,,,,
Kepler-348 b,,0.136,7.05677,,,,
Kepler-348 c,,0.119,17.265427,,,,
Kepler-349 b,,0.17,5.929778,,,,
Kepler-349 c,,0.175,12.247629,,,,
Kepler-35(AB) b,0.1267973445,0.7279877384,131.458,,,,1645
Kepler-350 b,,0.165,11.189562,,,,
Kepler-350 c,0.0176,0.277,17.849,,,,
Kepler-350 d,0.048,0.25,26.136,,,,
Kepler-351 b,,0.273,37.054919,,,,
Kepler-351 c,,0.285,57.24809,,,,
Kepler-352 b,,0.077,10.05537,,,,
Kepler-352 c,,0.111,16.332995,,,,
Kepler-353 b,,0.079,5.795278,,,,
Kepler-353 c,,0.123,8.410894,,,,
Kepler-354 b,,0.164,5.47666,,,,
Kepler-354 c,,0.117,16.934402,,,,
Kepler-354 d,,0.111,24.209842,,,,
Kepler-355 b,,0.13,11.03189,,,,
Kepler-355 c,,0.242,25.762294,,,,
Kepler-356 b,,0.14,4.612696,,,,
Kepler-356 c,,0.161,13.121632,,,,
Kepler-357 b,,0.164,6.475434,,,,
Kepler-357 c,,0.238,16.85837,,,,
Kepler-357 d,,0.306,49.499875,,,,
Kepler-358 b,,0.243,34.060467,,,,
Kepler-358 c,,0.254,83.488369,,,,
Kepler-359 b,,0.315,25.563222,,,,
Kepler-359 c,,0.384,57.68802,,,,
Kepler-359 d,,0.358,77.095691,,,,
Kepler-36 b,0.014032659,0.1320369918,13.83989,,,,
Kepler-36 c,0.0254149,0.3282,16.23855,,,,
Kepler-360 b,,0.147,3.289672,,,,
Kepler-360 c,,0.187,7.186434,,,,
Kepler-361 b,,0.129,8.486616,,,,
Kepler-361 c,,0.225,55.188023,,,,
Kepler-362 b,,0.079,10.327186,,,,
Kepler-362 c,,0.129,37.866281,,,,
Kepler-363 b,,0.103,3.614568,,,,
Kepler-363 c,,0.151,7.542427,,,,
Kepler-363 d,,0.183,11.932125,,,,
Kepler-364 b,,0.138,25.745718,,,,
Kepler-364 c,,0.192,59.980627,,,,
Kepler-365 b,,0.182,10.664903,,,,
Kepler-365 c,,0.146,17.784129,,,,
Kepler-366 b,,0.13,3.281959,,,,
Kepler-366 c,,0.16,12.51616,,,,
Kepler-367 b,,0.116,37.815724,,,,
Kepler-367 c,,0.107,53.578637,,,,
Kepler-368 b,,0.291,26.84768,,,,
Kepler-368 c,,0.346,72.379334,,,,
Kepler-369 b,,0.101,2.732756,,,,
Kepler-369 c,,0.126,14.871572,,,,
Kepler-37 b,0.0087468143,0.0285485388,13.367308,,,,66
Kepler-37 c,0.0314633609,0.0669106377,21.301886,,,,66
Kepler-37 d,0.0383853003,0.1730755162,39.792187,,,,66
Kepler-370 b,,0.142,4.57953,,,,
Kepler-370 c,,0.17,19.02293,,,,
Kepler-371 b,,0.169,34.763278,,,,
Kepler-371 c,,0.159,67.968015,,,,
Kepler-372 b,,0.121,6.849692,,,,
Kepler-372 c,,0.186,20.053763,,,,
Kepler-372 d,,0.151,30.092568,,,,
Kepler-373 b,,0.121,5.535309,,,,
Kepler-373 c,,0.111,16.725948,,,,
Kepler-374 b,,0.092,1.897806,,,,
Kepler-374 c,,0.098,3.282807,,,,
Kepler-374 d,,0.117,5.028219,,,,
Kepler-375 b,,0.129,12.125934,,,,
Kepler-375 c,,0.236,19.986326,,,,
Kepler-376 b,,0.095,4.920199,,,,
Kepler-376 c,,0.16,14.172327,,,,
Kepler-377 b,,0.124,12.509529,,,,
Kepler-377 c,,0.184,27.014976,,,,
Kepler-378 b,,0.067,16.092361,,,,
Kepler-378 c,,0.062,28.906009,,,,
Kepler-379 b,,0.148,20.09838,,,,
Kepler-379 c,,0.204,62.784697,,,,
Kepler-38(AB) b,0.38,0.39,105.595,,,,
Kepler-380 b,,0.106,3.930821,,,,
Kepler-380 c,,0.113,7.630004,,,,
Kepler-381 b,,0.088,5.629021,,,,
Kepler-381 c,,0.1,13.391635,,,,
Kepler-382 b,,0.118,5.262155,,,,
Kepler-382 c,,0.142,12.162701,,,,
Kepler-383 b,,0.118,12.904532,,,,
